Model,problem_code,cause_code,remedies_code
AGV12 10,F12001026,F12001026003,F120010260031
AGV12 08,F12001030,F12001030005,F120010300051
AGV12 11,F12001030,F12001030005,F120010300051
AGV12 11,F12001054,F12001054005,F12001054005001
AGV12 10,F12001030,F12001030004,F12001030004001
AGV12 08,F12001030,F12001030001,F120010300014
AGV12 07,F12001030,F12001030005,F120010300051
AGV12 04,F12001011,F12001011001,F12001011001001
AGV12 07,F12001011,F12001011001,F12001011001001
AGV12 04,F12001030,F12001030005,F120010300051
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 07,F12001005,F12001005005,F12001005005001
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 07,F12001001,F12001001001,F12001001001002
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 09,F12001006,F12001006001,F12001006001001
AGV12 04,F12001005,F12001005001,F12001005001001
AGV12 10,F12001026,F12001026003,F120010260031
AGV12 07,F12001021,F12001021004,F120010210041
AGV12 10,F12001052,F12001052002,F120010520021
AGV12 11,F12001061,F12001061002,F12001061002001
AGV12 10,F12001030,F12001030004,F12001030004001
AGV12 08,F12001015,F12001015001,F12001015001001
AGV12 11,F12001030,F12001030003,F12001030003001
AGV12 08,F12001030,F12001030003,F12001030003001
AGV12 04,F12001065,F12001065002,F12001065002001
AGV12 02,F12001030,F12001030003,F12001030003001
AGV12 11,F12001005,F12001005006,F120010050061
AGV12 09,F12001003,F12001003001,F12001003001001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 12,F12001030,F12001030005,F120010300051
AGV12 01,F12001005,F12001005005,F12001005005001
AGV12 01,F12001028,F12001028001,F12001028001001
AGV12 02,F12001054,F12001054001,F12001054001002
AGV12 12,F12001030,F12001030005,F120010300051
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 12,F12001001,F12001001001,F12001001001002
AGV12 09,F12001005,F12001005006,F120010050061
AGV12 12,F12001030,F12001030005,F120010300051
AGV12 09,F12001030,F12001030005,F120010300051
AGV12 09,F12001030,F12001030005,F120010300051
AGV12 09,F12001012,F12001012002,F12001012002001
AGV12 12,F12001001,F12001001001,F12001001001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 12,F12001026,F12001026002,F12001026002001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 10,F12001030,F12001030005,F120010300051
AGV12 03,F12001054,F12001054001,F12001054001002
AGV12 10,F12001005,F12001005005,F12001005005001
AGV12 10,F12001030,F12001030005,F120010300051
AGV12 10,F12001030,F12001030005,F120010300051
AGV12 10,F12001030,F12001030005,F120010300051
AGV12 02,F12001005,F12001005005,F12001005005001
AGV12 02,F12001065,F12001065002,F12001065002001
AGV12 10,F12001030,F12001030003,F12001030003001
AGV12 02,F12001030,F12001030003,F12001030003001
AGV12 01,F12001025,F12001025002,F120010250021
AGV12 01,F12001038,F12001038004,F1200138004
AGV12 02,F12001038,F12001038004,F1200138004
AGV12 03,F12001038,F12001038004,F1200138004
AGV12 04,F12001038,F12001038004,F1200138004
AGV12 05,F12001079,F120010791,F1200107911
AGV12 06,F12001079,F120010791,F1200107911
AGV12 07,F12001079,F120010791,F1200107911
AGV12 08,F12001079,F120010791,F1200107911
AGV12 09,F12001079,F120010791,F1200107911
AGV12 10,F12001079,F120010791,F1200107911
AGV12 11,F12001079,F120010791,F1200107911
AGV12 12,F12001079,F120010791,F1200107911
AGV12 04,F12001005,F12001005006,F120010050061
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 04,F12001030,F12001030005,F120010300051
AGV12 10,F12001030,F12001030003,F12001030003001
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 10,F12001001,F12001001001,F12001001001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 02,F12001054,F12001054001,F12001054001002
AGV12 01,F12001030,F12001030005,F120010300051
AGV12 01,F12001054,F12001054001,F12001054001002
AGV1 05,F12001005,F12001005006,F120010050061
AGV1 01,F12001022,F12001022001,F12001022001002
AGV1 05,F12001054,F12001054001,F12001054001002
AGV1 02,F12001075,F12001075001,F12001075001004
AGV1 02,F12001005,F12001005005,F12001005005001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV1 05,F12001005,F12001005006,F120010050061
AGV1 05,F12001054,F12001054001,F12001054001002
AGV1 02,F12001005,F12001005006,F120010050061
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 03,F12001027,F12001027001,F12001027001001
AGV1 03,F12001030,F12001030003,F12001030003001
AGV1 04,F12001030,F12001030005,F120010300051
AGV1 04,F12001022,F12001022001,F12001022001002
AGV1 02,F12001030,F12001030005,F120010300051
AGV1 02,F12001030,F12001030005,F120010300051
AGV1 01,F12001027,F12001027002,F120010270021
AGV1 02,F12001005,F12001005006,F120010050061
AGV1 02,F12001030,F12001030003,F12001030003001
AGV1 02,F12001005,F12001005006,F120010050061
AGV12 07,F12001065,F12001065002,F12001065002001
AGV12 11,F12001005,F12001005001,F12001005001001
AGV12 11,F12001006,F12001006002,F12001006002002
AGV12 11,F12001005,F12001005001,F12001005001001
AGV12 11,F12001005,F12001005001,F12001005001001
AGV1 04,F12001030,F12001030005,F120010300051
AGV12 11,F12001005,F12001005001,F12001005001001
AGV12 02,F12001067,F12001067002,F120010670021
AGV12 11,F12001005,F12001005001,F12001005001001
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 04,F12001054,F12001054001,F12001054001001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV1 01,F12001005,F12001005006,F120010050061
AGV12 04,F12001054,F12001054001,F12001054001002
AGV12 02,F12001022,F12001022001,F12001022001001
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 03,F12001001,F12001001001,F12001001001002
AGV12 11,F12001040,F12001040001,F12001040001001
AGV12 01,F12001030,F12001030003,F12001030003001
AGV1 01,F12001027,F12001027001,F12001027001001
AGV12 07,F12001001,F12001001001,F12001001001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 07,F12001065,F12001065002,F12001065002001
AGV12 01,F12001065,F12001065002,F12001065002001
AGV12 02,F12001030,F12001030003,F12001030003001
AGV1 04,F12001030,F12001030005,F120010300051
AGV12 01,F12001005,F12001005006,F120010050061
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 07,F12001030,F12001030001,F12001030001003
AGV1 01,F12001027,F12001027001,F12001027001001
AGV1 01,F12001027,F12001027001,F12001027001001
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV1 04,F12001022,F12001022001,F12001022001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 04,F12001022,F12001022001,F12001022001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 01,F12001001,F12001001001,F12001001001002
AGV12 02,F12001001,F12001001001,F12001001001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV1 03,F12001005,F12001005006,F120010050061
AGV12 04,F12001025,F12001025002,F120010250021
AGV12 07,F12001054,F12001054001,F12001054001002
AGV12 04,F12001024,F12001024002,F12001024002002
AGV1 02,F12001054,F12001054001,F12001054001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 03,F12001001,F12001001001,F12001001001002
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 01,F12001030,F12001030003,F12001030003001
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 04,F12001022,F12001022001,F12001022001002
AGV12 03,F12001030,F12001030001,F12001030001003
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 02,F12001001,F12001001001,F12001001001002
AGV1 04,F12001032,F12001032001,F12001032001001
AGV1 03,F12001030,F12001030003,F12001030003001
AGV12 01,F12001001,F12001001001,F12001001001002
AGV12 05,F12001001,F12001001001,F12001001001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 03,F12001001,F12001001001,F12001001001002
AGV12 04,F12001030,F12001030001,F12001030001002
AGV1 01,F12001022,F12001022001,F12001022001001
AGV12 01,F12001032,F12001032001,F12001032001001
AGV12 07,F12001030,F12001030001,F12001030001002
AGV1 03,F12001005,F12001005006,F120010050061
AGV1 02,F12001022,F12001022001,F12001022001001
AGV1 04,F12001022,F12001022001,F12001022001001
AGV12 07,F12001001,F12001001001,F12001001001001
AGV1 01,F12001027,F12001027001,F12001027001001
AGV1 01,F12001025,F12001025002,F120010250021
AGV12 04,F12001048,F12001048001,F12001048001001
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 02,F12001030,F12001030003,F12001030003001
AGV1 03,F12001005,F12001005006,F120010050061
AGV12 04,F12001032,F12001032001,F12001032001001
AGV12 02,F12001030,F12001030003,F12001030003001
AGV1 01,F12001005,F12001005003,F12001005003001
AGV1 04,F12001032,F12001032001,F12001032001001
AGV1 04,F12001005,F12001005006,F120010050061
AGV12 01,F12001005,F12001005005,F12001005005001
AGV12 01,F12001030,F12001030003,F12001030003001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV12 04,F12001030,F12001030005,F120010300051
AGV12 05,F12001005,F12001005006,F120010050061
AGV12 02,F12001005,F12001005001,F12001005001001
AGV12 05,F12001054,F12001054001,F12001054001002
AGV12 05,F12001054,F12001054001,F12001054001002
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 05,F12001064,F12001064001,F12001064001001
AGV12 05,F12001014,F12001014001,F12001014001001
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 02,F12001067,F12001067002,F120010670021
AGV12 02,F12001030,F12001030003,F12001030003001
AGV12 04,F12001028,F12001028001,F12001028001001
AGV12 01,F12001005,F12001005001,F12001005001001
AGV12 02,F12001005,F12001005001,F12001005001001
AGV12 04,F12001044,F12001044002,F120010440021
AGV12 04,F12001030,F12001030001,F120010300014
AGV1 02,F12001005,F12001005006,F120010050061
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 04,F12001030,F12001030005,F120010300051
AGV12 03,F12001030,F12001030003,F12001030003001
AGV1 02,F12001005,F12001005001,F12001005001001
AGV12 05,F12001005,F12001005006,F120010050061
AGV12 03,F12001006,F12001006002,F12001006002002
AGV12 03,F12001030,F12001030001,F12001030001003
AGV12 04,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030001,F12001030001003
AGV1 02,F12001005,F12001005006,F120010050061
AGV12 05,F12001030,F12001030001,F12001030001003
AGV12 03,F12001025,F12001025002,F120010250021
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 03,F12001061,F12001061003,F120010610031
AGV12 04,F12001054,F12001054005,F12001054005005
AGV12 03,F12001061,F12001061004,F12001061004001
AGV1 02,F12001025,F12001025002,F120010250021
AGV1 03,F12001011,F12001011001,F12001011001001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV1 03,F12001034,F12001034002,F12001034002001
AGV1 02,F12001054,F12001054001,F12001054001002
AGV1 01,F12001045,F12001045001,F12001045001001
AGV12 03,F12001013,F12001013001,F12001013001001
AGV12 01,F12001013,F12001013001,F12001013001001
AGV12 01,F12001054,F12001054007,F12001054007001
AGV12 04,F12001075,F12001075001,F12001075001001
AGV12 05,F12001030,F12001030001,F12001030001003
AGV12 03,F12001065,F12001065002,F12001065002001
AGV12 03,F12001006,F12001006002,F12001006002002
AGV1 02,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV1 01,F12001007,F12001007001,F12001007001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 02,F12001005,F12001005004,F12001005004001
AGV12 06,F12001001,F12001001001,F12001001001002
AGV12 03,F12001001,F12001001001,F12001001001002
AGV12 05,F12001064,F12001064001,F12001064001001
AGV12 06,F12001012,F12001012001,F12001012001002
AGV12 02,F12001012,F12001012001,F12001012001002
AGV12 06,F12001012,F12001012001,F12001012001002
AGV1 03,F12001006,F12001006002,F12001006002002
AGV1 01,F12001022,F12001022001,F12001022001001
AGV12 01,F12001045,F12001045001,F12001045001001
AGV12 01,F12001005,F12001005004,F12001005004002
AGV12 02,F12001030,F12001030003,F12001030003001
AGV12 01,F12001005,F12001005004,F12001005004002
AGV1 01,F12001045,F12001045001,F12001045001001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV1 01,F12001045,F12001045001,F12001045001001
AGV1 03,F12001026,F12001026003,F120010260031
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV1 01,F12001026,F12001026003,F120010260031
AGV12 04,F12001032,F12001032001,F12001032001001
AGV12 04,F12001032,F12001032001,F12001032001001
AGV12 04,F12001077,F120010772,F1200107721
AGV12 02,F12001021,F12001021004,F120010210041
AGV12 05,F12001030,F12001030005,F120010300051
AGV12 06,F12001011,F12001011001,F12001011001001
AGV12 05,F12001044,F12001044002,F120010440021
AGV12 03,F12001027,F12001027001,F12001027001001
AGV1 04,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 03,F12001001,F12001001001,F12001001001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 04,F12001001,F12001001001,F12001001001002
AGV12 05,F12001001,F12001001001,F12001001001002
AGV12 04,F12001068,F12001068002,F12001068002001
AGV1 02,F12001045,F12001045001,F12001045001001
AGV12 05,F12001030,F12001030003,F12001030003001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 04,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 05,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 05,F12001054,F12001054001,F12001054001002
AGV12 04,F12001030,F12001030003,F12001030003001
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 02,F12001054,F12001054001,F12001054001002
AGV12 01,F12001054,F12001054001,F12001054001002
AGV12 02,F12001054,F12001054001,F12001054001002
AGV12 05,F12001030,F12001030003,F12001030003001
AGV12 02,F12001032,F12001032001,F12001032001001
AGV12 06,F12001032,F12001032001,F12001032001001
AGV12 06,F12001030,F12001030005,F120010300051
AGV1 02,F12001005,F12001005006,F120010050061
AGV12 03,F12001054,F12001054001,F12001054001002
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 05,F12001045,F12001045001,F12001045001001
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 05,F12001054,F12001054001,F12001054001002
AGV12 04,F12001003,F12001003001,F12001003001001
AGV1 01,F12001022,F12001022001,F12001022001001
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 03,F12001054,F12001054001,F12001054001002
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 03,F12001069,F12001069001,F12001069001001
AGV12 05,F12001018,F12001018001,F12001018001001
AGV12 06,F12001005,F12001005004,F12001005004002
AGV1 04,F12001025,F12001025002,F120010250021
AGV1 02,F12001005,F12001005006,F120010050061
AGV1 02,F12001005,F12001005006,F120010050061
AGV1 01,F12001005,F12001005004,F12001005004001
AGV12 01,F12001055,F12001055002,F12001055002001
AGV12 02,F12001055,F12001055002,F12001055002001
AGV12 03,F12001055,F12001055002,F12001055002001
AGV12 04,F12001055,F12001055002,F12001055002001
AGV12 05,F12001055,F12001055002,F12001055002001
AGV12 06,F12001055,F12001055002,F12001055002001
AGV12 01,F12001024,F12001024001,F12001024001001
AGV12 02,F12001024,F12001024001,F12001024001001
AGV12 03,F12001024,F12001024001,F12001024001001
AGV12 04,F12001024,F12001024001,F12001024001001
AGV12 05,F12001024,F12001024001,F12001024001001
AGV12 06,F12001024,F12001024001,F12001024001001
AGV1 05,F12001065,F12001065002,F12001065002001
AGV12 01,F12001073,F12001073002,F12001073002001
AGV12 02,F12001073,F12001073002,F12001073002001
AGV12 03,F12001073,F12001073002,F12001073002001
AGV12 04,F12001073,F12001073002,F12001073002001
AGV12 05,F12001073,F12001073002,F12001073002001
AGV12 06,F12001073,F12001073002,F12001073002001
AGV12 05,F12001030,F12001030003,F12001030003001
AGV1 02,F12001021,F12001021001,F12001021001001
AGV1 04,F12001005,F12001005001,F12001005001001
AGV1 01,F12001054,F12001054005,F12001054005005
AGV1 01,F12001054,F12001054005,F12001054005005
AGV12 01,F12001030,F12001030003,F12001030003001
AGV12 02,F12001030,F12001030003,F12001030003001
AGV12 05,F12001030,F12001030003,F12001030003001
AGV12 04,F12001038,F12001038002,F12001038002001
AGV12 04,F12001054,F12001054001,F12001054001002
AGV1 01,F12001054,F12001054001,F12001054001002
AGV12 03,F12001030,F12001030003,F12001030003001
AGV12 05,F12001030,F12001030003,F12001030003001
AGV12 01,F12001001,F12001001001,F12001001001002
AGV12 06,F12001001,F12001001001,F12001001001002
AGV12 06,F12001054,F12001054001,F12001054001002
AGV12 02,F12001030,F12001030003,F12001030003001
AGV1 01,F12001025,F12001025002,F120010250021
AGV12 04,F12001054,F12001054001,F12001054001002
,F12001054,F12001054001,F12001054001002
